City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Asau,RO,2022-09-20 16:11:48,46.4333,26.4,54.52,67,65,5.88
278,Touros,BR,2022-09-20 16:11:49,-5.1989,-35.4608,83.03,60,67,18.28
279,Katsuura,JP,2022-09-20 16:11:49,35.1333,140.3,67.42,89,100,22.01
280,Zhezkazgan,KZ,2022-09-20 16:11:50,47.8043,67.7144,66.38,12,3,10.4
281,Panama City,PA,2022-09-20 16:11:50,8.9936,-79.5197,87.17,75,75,11.5
282,Ust-Kuyga,RU,2022-09-20 16:11:50,70.0167,135.6,29.91,81,100,2.71
283,Port Macquarie,AU,2022-09-20 16:11:51,-31.4333,152.9167,56.89,79,99,7.85
284,Abha,SA,2022-09-20 16:11:51,18.2164,42.5053,64.65,52,40,9.22
285,Dunedin,NZ,2022-09-20 16:11:51,-45.8742,170.5036,49.8,90,84,3.0
286,Saint-Maximin-La-Sainte-Baume,FR,2022-09-20 16:11:52,43.4521,5.8622,78.03,31,4,6.17
287,Kinkala,CG,2022-09-20 16:11:52,-4.3614,14.7644,85.98,48,100,3.56
288,Akdepe,TM,2022-09-20 16:11:52,42.0551,59.3788,74.82,23,0,10.98
289,Egvekinot,RU,2022-09-20 16:11:53,66.3167,-179.1667,32.94,83,43,6.51
290,Iquitos,PE,2022-09-20 16:11:53,-3.7481,-73.2472,91.44,70,20,5.75
291,Usta Muhammad,PK,2022-09-20 16:11:53,28.1794,68.0445,89.2,36,1,5.17
292,Meulaboh,ID,2022-09-20 16:09:31,4.1363,96.1285,77.7,86,90,5.14
293,Laguna,US,2022-09-20 16:11:54,38.421,-121.4238,66.29,91,75,5.75
294,Saint Andrews,US,2022-09-20 16:09:00,34.0454,-81.1293,87.53,53,20,5.75
